Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\ObsTool.csproj,,,Microsoft.AspNetCore.SpaServices.Extensions 3.0.0,,,,,"Microsoft.AspNetCore.SpaServices.Extensions, 3.0.0  Recommendation:  Remove Microsoft.AspNetCore.SpaServices.Extensions, and replace with new package Microsoft.AspNetCore.SpaServices.Extensions 10.0.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\ObsTool.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 3.0.0,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 3.0.0  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\ObsTool.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 3.0.0,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 3.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.6"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,ObsTool\ObsTool.csproj,File,ObsTool\ObsTool.csproj,,,AutoMapper 9.0.0,,,,,"AutoMapper, 9.0.0  Recommendation:  AutoMapper, 16.1.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ObsTool\ObsTool.csproj,File,ObsTool\ObsTool.csproj,,,Microsoft.AspNetCore.SpaServices.Extensions 3.0.0,,,,,"Microsoft.AspNetCore.SpaServices.Extensions, 3.0.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.SpaServices.Extensions, and replace with new package Microsoft.AspNetCore.SpaServices.Extensions, 10.0.6"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ObsTool\ObsTool.csproj,File,ObsTool\ObsTool.csproj,,,,,,,,Current target framework: netcoreapp3.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ObsTool\ObsTool.csproj,File,ObsTool\Controllers\AuthenticationController.cs,35,12,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var cfgHashedPassword = _configuration.GetSection(""AdminUser:HashedPassword"").Get<string>();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ObsTool\ObsTool.csproj,File,ObsTool\Controllers\AuthenticationController.cs,34,12,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var cfgUsername = _configuration.GetSection(""AdminUser:Username"").Get<string>();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,145,16,T:Microsoft.AspNetCore.SpaServices.SpaOptions,,,,,"spa.Options.SourcePath = ""./ObsToolClient"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,145,16,P:Microsoft.AspNetCore.SpaServices.ISpaBuilder.Options,,,,,"spa.Options.SourcePath = ""./ObsToolClient"";"
